id,trip_id,stop_number,nass_code,facility,arrive_time,load_unload,depart_time,vehicle,freq,freq_days,eff_date,exp_date,trip_miles,trip_hrs,drive_time
135,1031,2,03451,HINSDALE,12:49:00 ET,6 min,12:55:00 ET,,,0.0,0,,19.5,0.92,0.57
136,1032,1,03451,HINSDALE,12:56:00 ET,9 min,13:05:00 ET,24VN,,0.0,0,,21.7,1.90,1.05
137,1032,2,03441,ASHUELOT,13:29:00 ET,9 min,13:38:00 ET,,,0.0,0,,0.0,0.0,0.0
138,1032,3,03470,WINCHESTER,13:45:00 ET,9 min,13:54:00 ET,,,0.0,0,,0.0,0.0,0.0
139,1032,4,03446,SWANZEY,14:13:00 ET,9 min,14:22:00 ET,,,0.0,0,,0.0,0.0,0.0
140,1032,5,03431,KEENE,14:35:00 ET,15 min,14:50:00 ET,,,0.0,0,,0.0,0.0,0.0
141,1033,1,03431,KEENE,15:30:00 ET,15 min,15:45:00 ET,24VN,,0.0,0,,20.0,1.02,0.0
142,1033,2,03469,WEST SWANZEY,15:54:00 ET,9 min,16:03:00 ET,,,0.0,0,,0.0,0.0,0.0
143,1033,3,03451,HINSDALE,16:22:00 ET,9 min,16:31:00 ET,,,0.0,0,,0.0,0.0,0.0
144,1034,1,03451,HINSDALE,16:32:00 ET,9 min,16:41:00 ET,24VN,K7,303.0,12/06/2024,06/30/2026,,,,
145,1034,2,03441,ASHUELOT,16:48:00 ET,9 min,16:57:00 ET,,,0.0,0,,21.7,1.72,0.0
146,1034,3,03470,WINCHESTER,17:13:00 ET,9 min,17:22:00 ET,,,0.0,0,,0.0,0.0,0.0
147,1034,4,03446,SWANZEY,17:41:00 ET,9 min,17:50:00 ET,,,0.0,0,,0.0,0.0,0.0
148,1034,5,03431,KEENE,18:00:00 ET,15 min,18:15:00 ET,,,0.0,0,,0.0,0.0,0.0
149,1035,1,03458,PETERBOROUGH,06:35:00 ET,15 min,06:50:00 ET,24VN,,0.0,0,,29.1,1.43,0.0
150,1035,2,03440,ANTRIM,07:10:00 ET,9 min,07:19:00 ET,,,0.0,0,,0.0,0.0,0.0
151,1035,3,03449,HANCOCK,07:29:00 ET,9 min,07:38:00 ET,,,0.0,0,,0.0,0.0,0.0
152,1035,4,03468,WEST PETERBOROUGH,07:55:00 ET,6 min,08:01:00 ET,,,0.0,0,,0.0,0.0,0.0
153,1036,1,03468,WEST PETERBOROUGH,08:01:00 ET,6 min,08:07:00 ET,24VN,,0.0,0,,1.7,0.48,0.0
154,1036,2,03458,PETERBOROUGH,08:15:00 ET,15 min,08:30:00 ET,,,0.0,0,,0.0,0.0,0.0
155,1037,1,03458,PETERBOROUGH,15:45:00 ET,15 min,16:00:00 ET,24VN,,0.0,0,,12.3,0.88,0.0
156,1037,2,03440,ANTRIM,16:29:00 ET,9 min,16:38:00 ET,,,0.0,0,,0.0,0.0,0.0
157,1038,1,03440,ANTRIM,16:39:00 ET,6 min,16:45:00 ET,24VN,,0.0,0,,18.5,1.10,0.0
158,1038,2,03449,HANCOCK,16:49:00 ET,9 min,16:58:00 ET,,,0.0,0,,0.0,0.0,0.0
159,1038,3,03468,WEST PETERBOROUGH,17:12:00 ET,9 min,17:21:00 ET,,,0.0,0,,0.0,0.0,0.0
160,1038,4,03458,PETERBOROUGH,17:30:00 ET,15 min,17:45:00 ET,,,0.0,0,,0.0,0.0,0.0
